,rank,value,height_cm,weight_kg,age,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
0,2,216,,,23.0,8.0,5.0,100.0,68.0,man,left
1,6,196,198.0,94.0,32.0,1790.0,35.0,1051.0,67.0,man,left
2,7,195,196.0,95.0,29.0,66.0,6.0,345.0,10.0,man,right
3,8,195,193.0,85.0,30.0,751.0,13.0,1288.0,11.0,man,right
4,9,195,211.0,102.0,28.0,68.0,17.0,,38.0,man,right
5,11,193,198.0,77.0,28.0,10.0,10.0,583.0,45.0,man,right
6,12,193,198.0,90.0,28.0,4.0,2.0,137.0,7.0,man,right
7,14,192,203.0,94.0,39.0,,5.0,,58.0,man,right
8,16,191,191.0,81.0,29.0,108.0,37.0,542.0,159.0,man,right
9,17,190,198.0,90.0,30.0,154.0,16.0,,40.0,man,right
10,18,190,196.0,81.0,29.0,71.0,6.0,,29.0,man,right
11,19,190,191.0,78.0,29.0,102.0,46.0,89.0,88.0,man,right
12,20,189,185.0,75.0,26.0,39.0,10.0,348.0,11.0,man,left
13,21,189,196.0,86.0,30.0,28.0,26.0,361.0,124.0,man,right
14,23,189,191.0,84.0,30.0,750.0,45.0,,206.0,man,left
15,25,188,193.0,87.0,29.0,262.0,31.0,,47.0,man,right
16,26,187,193.0,89.0,27.0,43.0,3.0,355.0,6.0,man,right
17,27,187,188.0,85.0,29.0,25.0,21.0,180.0,61.0,man,right
18,29,187,191.0,76.0,30.0,61.0,21.0,78.0,33.0,man,right
19,30,186,196.0,78.0,26.0,45.0,19.0,357.0,113.0,man,right
20,33,186,,,21.0,32.0,14.0,345.0,185.0,man,right
21,34,186,183.0,80.0,24.0,23.0,16.0,178.0,133.0,man,right
22,35,186,201.0,82.0,29.0,387.0,29.0,,142.0,man,right
23,36,185,191.0,81.0,34.0,42.0,3.0,,17.0,man,right
24,37,185,191.0,80.0,24.0,14.0,4.0,577.0,202.0,man,left
25,39,185,193.0,84.0,29.0,887.0,65.0,1286.0,15.0,man,right
26,41,185,185.0,76.0,29.0,111.0,42.0,252.0,121.0,man,right
27,42,184,188.0,90.0,28.0,359.0,81.0,,174.0,man,right
28,44,184,185.0,75.0,28.0,199.0,36.0,,151.0,man,right
29,45,184,183.0,78.0,31.0,232.0,61.0,,74.0,man,left
30,47,183,198.0,83.0,30.0,11.0,1.0,,3.0,man,right
31,48,183,188.0,85.0,29.0,146.0,12.0,,24.0,man,right
32,50,182,183.0,77.0,27.0,13.0,2.0,,24.0,man,right
33,51,182,188.0,79.0,26.0,604.0,37.0,521.0,85.0,man,right
34,53,182,182.0,79.0,40.0,92.0,3.0,,18.0,man,right
35,54,182,198.0,87.0,29.0,16.0,8.0,151.0,20.0,man,right
36,56,182,188.0,83.0,31.0,708.0,14.0,,48.0,man,right
37,58,182,188.0,86.0,28.0,22.0,10.0,586.0,59.0,man,right
38,59,181,185.0,85.0,32.0,721.0,14.0,,42.0,man,right
39,60,181,188.0,76.0,24.0,2.0,1.0,,34.0,man,right
40,61,181,198.0,89.0,37.0,51.0,3.0,,42.0,man,right
41,63,180,185.0,77.0,24.0,30.0,29.0,514.0,141.0,man,right
42,66,180,188.0,75.0,28.0,40.0,19.0,304.0,106.0,man,left
43,67,180,180.0,78.0,30.0,57.0,55.0,,107.0,man,right
