rank,name,country_name,country_id,active,value,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
2,Ben Shelton,United States,USA,False,216 km/h,USA,,,23.0,9. 10. 2002,8,5.0,100,68.0,man,left
6,Jiri Vesely,Czech Republic,CZE,False,196 km/h,Czech Republic,198.0,94.0,32.0,10. 7. 1993,1790,35.0,1051,67.0,man,left
7,Matteo Berrettini,Italy,ITA,False,195 km/h,Italy,196.0,95.0,29.0,12. 4. 1996,66,6.0,345,10.0,man,right
8,Nick Kyrgios,Australia,AUS,False,195 km/h,Australia,193.0,85.0,30.0,27. 4. 1995,751,13.0,1288,11.0,man,right
9,Reilly Opelka,United States,USA,False,195 km/h,USA,211.0,102.0,28.0,28. 8. 1997,68,17.0,-,38.0,man,right
11,Alexander Bublik,Kazakhstan,KAZ,False,193 km/h,Kazakhstan,198.0,77.0,28.0,17. 6. 1997,10,10.0,583,45.0,man,right
12,Alexander Zverev,Germany,GER,False,193 km/h,Germany,198.0,90.0,28.0,20. 4. 1997,4,2.0,137,7.0,man,right
14,Kevin Anderson,South Africa,RSA,False,192 km/h,RSA,203.0,94.0,39.0,18. 5. 1986,-,5.0,-,58.0,man,right
16,Sebastian Ofner,Austria,AUT,False,191 km/h,Austria,191.0,81.0,29.0,12. 5. 1996,108,37.0,542,159.0,man,right
17,Nicolas Jarry,Chile,CHI,False,190 km/h,Chile,198.0,90.0,30.0,11. 10. 1995,154,16.0,-,40.0,man,right
18,Hubert Hurkacz,Poland,POL,False,190 km/h,Poland,196.0,81.0,29.0,11. 2. 1997,71,6.0,-,29.0,man,right
19,Quentin Halys,France,FRA,False,190 km/h,France,191.0,78.0,29.0,26. 10. 1996,102,46.0,89,88.0,man,right
20,Denis Shapovalov,Canada,CAN,False,189 km/h,Canada,185.0,75.0,26.0,15. 4. 1999,39,10.0,348,11.0,man,left
21,Arthur Rinderknech,France,FRA,False,189 km/h,France,196.0,86.0,30.0,23. 7. 1995,28,26.0,361,124.0,man,right
23,Maximilian Marterer,Germany,GER,False,189 km/h,Germany,191.0,84.0,30.0,15. 6. 1995,750,45.0,-,206.0,man,left
25,Zhizhen Zhang,China,CHN,False,188 km/h,China,193.0,87.0,29.0,16. 10. 1996,262,31.0,-,47.0,man,right
26,Stefanos Tsitsipas,Greece,GRE,False,187 km/h,Greece,193.0,89.0,27.0,12. 8. 1998,43,3.0,355,6.0,man,right
27,Tallon Griekspoor,Netherlands,NED,False,187 km/h,Netherlands,188.0,85.0,29.0,2. 7. 1996,25,21.0,180,61.0,man,right
29,Lorenzo Sonego,Italy,ITA,False,187 km/h,Italy,191.0,76.0,30.0,11. 5. 1995,61,21.0,78,33.0,man,right
30,Alexei Popyrin,Australia,AUS,False,186 km/h,Australia,196.0,78.0,26.0,5. 8. 1999,45,19.0,357,113.0,man,right
33,Arthur Fils,France,FRA,False,186 km/h,France,,,21.0,12. 6. 2004,32,14.0,345,185.0,man,right
34,Jiri Lehecka,Czech Republic,CZE,False,186 km/h,Czech Republic,183.0,80.0,24.0,8. 11. 2001,23,16.0,178,133.0,man,right
35,Christopher Eubanks,United States,USA,False,186 km/h,USA,201.0,82.0,29.0,5. 5. 1996,387,29.0,-,142.0,man,right
36,Grigor Dimitrov,Bulgaria,BUL,False,185 km/h,Bulgaria,191.0,81.0,34.0,16. 5. 1991,42,3.0,-,17.0,man,right
37,Jack Draper,United Kingdom,GBR,False,185 km/h,Great Britain,191.0,80.0,24.0,22. 12. 2001,14,4.0,577,202.0,man,left
39,Thanasi Kokkinakis,Australia,AUS,False,185 km/h,Australia,193.0,84.0,29.0,10. 4. 1996,887,65.0,1286,15.0,man,right
41,Benjamin Bonzi,France,FRA,False,185 km/h,France,185.0,76.0,29.0,9. 6. 1996,111,42.0,252,121.0,man,right
42,Michael Mmoh,United States,USA,False,184 km/h,USA,188.0,90.0,28.0,10. 1. 1998,359,81.0,-,174.0,man,right
44,Roman Safiullin,Russian Federation,RUS,False,184 km/h,Russia,185.0,75.0,28.0,7. 8. 1997,199,36.0,-,151.0,man,right
45,Thiago Monteiro,Brazil,BRA,False,184 km/h,Brazil,183.0,78.0,31.0,31. 5. 1994,232,61.0,-,74.0,man,left
47,Daniil Medvedev,Russian Federation,RUS,False,183 km/h,Russia,198.0,83.0,30.0,11. 2. 1996,11,1.0,-,3.0,man,right
48,Borna Coric,Croatia,CRO,False,183 km/h,Croatia,188.0,85.0,29.0,14. 11. 1996,146,12.0,-,24.0,man,right
50,Casper Ruud,Norway,NOR,False,182 km/h,Norway,183.0,77.0,27.0,22. 12. 1998,13,2.0,-,24.0,man,right
51,Emil Ruusuvuori,Finland,FIN,False,182 km/h,Finland,188.0,79.0,26.0,2. 4. 1999,604,37.0,521,85.0,man,right
53,Stan Wawrinka,Switzerland,SUI,False,182 km/h,Switzerland,182.0,79.0,40.0,28. 3. 1985,92,3.0,-,18.0,man,right
54,Karen Khachanov,Russian Federation,RUS,False,182 km/h,Russia,198.0,87.0,29.0,21. 5. 1996,16,8.0,151,20.0,man,right
56,Kyle Edmund,United Kingdom,GBR,False,182 km/h,Great Britain,188.0,83.0,31.0,8. 1. 1995,708,14.0,-,48.0,man,right
58,Frances Tiafoe,United States,USA,False,182 km/h,USA,188.0,86.0,28.0,20. 1. 1998,22,10.0,586,59.0,man,right
59,Aslan Karatsev,Russian Federation,RUS,False,181 km/h,Russia,185.0,85.0,32.0,4. 9. 1993,721,14.0,-,42.0,man,right
60,Jannik Sinner,Italy,ITA,False,181 km/h,Italy,188.0,76.0,24.0,16. 8. 2001,2,1.0,-,34.0,man,right
