name,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
Aboutaleb Basmala,Egypt,,,,,,,,,woman,right
Schenck Robert,Honduras,,,38,6. 2. 1988,,,,,man,right
Hakizimana Alain,Rwanda,,,43,26. 12. 1982,-,1473,-,1534,man,right
Stankiewicz Monika,Poland,,,20,1. 1. 2006,781,496,568,513,woman,right
Cabrera Lizette,Australia,168,55,28,19. 12. 1997,273,119,380,139,woman,right
Gbadoe Antoine,Togo,,,26,31. 12. 1999,,,,,man,right
Bhawan Aryav,New Zealand,,,19,1. 1. 2007,,,,,man,right
Asaba Tunde,Nigeria,,,44,19. 12. 1981,,,,,man,right
Paquet Chloe,France,178,80,31,1. 7. 1994,215,96,-,247,woman,right
Blomqvist Caius,Finland,,,29,19. 8. 1996,,,,,man,right
Teixido Garcia Meritxell,Spain,,,,,1093,1089,1145,901,woman,right
Avanesyan Mikayel,Armenia,,,,,,,,,man,right
Gerbaud-Farras Paul,Andorra,,,42,21. 1. 1984,-,1473,-,1534,man,right
Morais Diogo,Portugal,,,,,1712,1483,943,936,man,right
Aamot Moenster Sofie,Denmark,,,27,20. 10. 1998,,,,,woman,right
Azhyppo Marat,Ukraine,,,35,25. 9. 1990,,,,,man,right
Araque Javier,Ecuador,,,58,19. 6. 1967,,,,,man,right
Sun Lulu,New Zealand,,,24,14. 4. 2001,100,39,324,190,woman,left
Anderson Scott Erin,New Zealand,,,33,14. 6. 1992,,,,,woman,right
Izumi Sina,Fidji,,,,,,,,,woman,
Djurdjevic Sara,Slovenia,,,29,31. 5. 1996,,,,,woman,right
Ayral Can,Luxembourg,,,,,,,,,man,right
Hammoud Hady,Paraguay,,,,,,,,,man,
Gasimov Kanan,Azerbaijan,,,21,3. 2. 2005,-,1867,,,man,right
Bergh Christian,Norway,,,39,10. 6. 1986,-,1698,,,man,right
Brown Richard,Trinidad,,,42,5. 7. 1983,,,-,1453,man,right
Bartolovic Borna,Croatia,,,30,30. 6. 1995,,,,,man,right
Abdel-Aziz Donia,Great Britain,,,25,18. 4. 2000,,,,,woman,right
Chi Stephanie,Thailand,,,49,7. 12. 1976,-,302,-,306,woman,right
Nguyen Tan Lucie,France,,,22,30. 5. 2003,827,366,600,417,woman,right
Efstathiou Menelaos,Cyprus,,,27,2. 3. 1999,797,773,516,464,man,right
Dinh Viet Minh Tuan,Viet Nam,,,20,27. 5. 2005,,,,,man,right
Kouassi Henri Konan,Ivory Coast,,,40,25. 5. 1985,,,,,man,right
Ben Salem Khadija,Tunisia,,,,,,,,,woman,right
Yoruk Ilay,Turkey,,,24,5. 11. 2001,804,463,1723,508,woman,right
Portela Rocio,Puerto Rico,,,33,3. 4. 1992,,,,,woman,right
Dos Santos Guilande Feliciano,Mozambique,,,37,1. 11. 1988,,,,,man,right
Licht Taly,Uruguay,,,,,-,1355,,,woman,right
Babinciuc Ilie,Moldavsko,,,40,6. 12. 1985,,,-,1225,man,right
Krajci Michal,Slovakia,,,21,14. 1. 2005,598,579,1150,954,man,right
Judd Michael,Botswana,,,48,15. 6. 1977,,,-,1688,man,right
Gandini Alejandro Jose,Dominican Rep.,,,,,,,2221,1433,man,right
Ahn Jisun,South Korea,,,27,4. 1. 1999,,,,,woman,right
Peniston Ryan,Great Britain,183,75,30,10. 11. 1995,243,123,893,378,man,left
Raschdorf Carolin,Germany,,,,,851,846,,,woman,right
Hashimov Elvin,Azerbaijan,,,20,1. 1. 2006,,,,,man,right
Adasheva Zebo,Uzbekistan,,,25,20. 3. 2000,,,,,woman,right
Milosavljevic Marko,Austria,,,21,5. 8. 2004,1656,1649,,,man,right
Keong Soon-Ping,Singapore,,,35,18. 5. 1990,,,,,man,right
Chamoun Nastassia,Reunion,,,25,30. 3. 2000,,,,,woman,right
Lombardini Marta,Italy,,,23,27. 2. 2003,949,942,850,850,woman,right
Melnic Vladislav,Romania,,,26,23. 6. 1999,1056,978,1231,1005,man,right
Burgess Anthony,Jamaica,,,27,29. 9. 1998,,,,,man,right
Anacin Ronaldo Taal,Philippines,,,55,6. 4. 1970,,,,,man,right
Abigael Abigael,Indonesia,,,45,13. 8. 1980,,,,,man,right
Williams Cordell,Antigua and Barbuda,,,25,6. 8. 2000,,,,,man,right
Krunic Aleksandra,Serbia,163,53,32,15. 3. 1993,579,39,8,8,woman,right
Abreu Mauricio,Mexico,,,23,1. 1. 2003,,,,,man,right
Liotto de Carvalho Bruna,Brazil,,,19,1. 1. 2007,1483,1463,,,woman,right
Botes Louise-Mare,RSA,,,28,6. 4. 1997,,,,,woman,right
Deheza Maria Ines,Bolivia,,,32,2. 3. 1994,,,,,woman,right
Higuita Barraza Mariana Isabel,Colombia,,,,,1061,1050,984,980,woman,right
Giordano Maddalena,Italy,,,22,21. 5. 2003,830,826,685,683,woman,right
Gallegos Monica,Ecuador,,,19,1. 1. 2007,,,,,woman,right
Druteikaite Gabija,Lithuania,,,27,20. 8. 1998,,,,,woman,right
Draxl Liam,Canada,,,24,5. 12. 2001,147,113,228,110,man,right
Harelimana Mubaraka,Rwanda,,,32,1. 4. 1993,,,,,man,right
Assam Ammar,Sudan,,,38,11. 11. 1987,,,,,man,right
Rodriguez Carolina,Uruguay,,,43,17. 5. 1982,-,469,-,633,woman,right
Alvarado Diego,Costa Rica,,,40,29. 9. 1985,,,,,man,right
Tomovic Jovan,Montenegro,,,19,1. 1. 2007,,,-,2317,man,right
Adisa Musendik,Nigeria,,,57,11. 12. 1968,,,,,man,right
Cecchinato Marco,Italy,185,78,33,30. 9. 1992,225,16,-,79,man,right
Ambrosio Silvia,Italy,,,29,24. 1. 1997,208,203,304,224,woman,right
Baskova Dagmara,Slovakia,,,33,21. 8. 1992,-,1117,-,780,woman,right
Rutlauka Sabine,Latvia,,,23,11. 10. 2002,1045,885,-,1579,woman,right
Darkey Gunther,Ghana,,,49,8. 6. 1976,-,528,-,856,man,right
Helbet Julia,Moldavsko,,,37,31. 5. 1988,-,1085,-,590,woman,right
Grzegorzewski Oskar,Poland,,,21,14. 2. 2005,1275,1248,862,852,man,right
Baker Leanne,New Zealand,,,45,8. 1. 1981,-,260,-,108,woman,left
Brkic Sanjin,Bosnia and Herzeg.,,,40,28. 2. 1986,,,,,man,right
Barbosa Ines,Portugal,,,33,28. 2. 1993,,,,,woman,right
Ngounoue Clervie,USA,,,19,19. 7. 2006,259,169,317,187,woman,right
Belokonska Yoanna,Bulgaria,,,23,14. 11. 2002,,,,,woman,right
Begic Josip,Bosnia and Herzeg.,,,37,15. 9. 1988,,,,,man,right
Chennaoui Kassad,Paraguay,,,58,23. 10. 1967,,,,,man,right
Lombardt Megan Kitago Ruby,Namibia,,,,,,,,,woman,right
Angjeleski Dragan,North Macedonia,,,32,5. 1. 1994,,,,,man,right
Nunez Danna,Aruba,,,22,19. 11. 2003,,,,,woman,right
Gojo Borna,Croatia,196,90,28,27. 2. 1998,194,72,-,221,man,right
Agious Olga,Greece,,,25,1. 1. 2001,,,,,woman,right
Colorado Alejandro,El Salvador,,,,,,,,,man,
Varbanciu Matei,Romania,,,19,1. 1. 2007,2105,1890,,,man,right
Kunakunova Saara,Kyrgyzstan,,,,,,,,,woman,
Abello Carolina,Colombia,,,33,14. 3. 1992,,,,,woman,right
Amdanu Jonathan,Indonesia,,,40,12. 3. 1986,,,,,man,right
Bielinskyi Viacheslav,Ukraine,,,22,2. 12. 2003,361,361,928,511,man,right
Kalinauskas Oskaras,Lithuania,,,32,26. 5. 1993,,,,,man,right
Anic Domagoj,Croatia,,,40,31. 3. 1985,,,,,man,right
Sonobe Wakana,Japan,,,,,289,224,426,414,woman,right
Chee Hong Yuan,Malaysia,,,33,6. 8. 1992,,,,,man,left
Pellicano Helene,Malta,,,23,17. 4. 2002,-,710,,,woman,right
Cuadra Brendamaria Auxiliadora,Nicaragua,,,25,24. 5. 2000,,,,,woman,right
Kwok Hong Kiu,Hong Kong,,,23,17. 8. 2002,,,,,woman,right
Jesaibegjans Artjoms,Latvia,,,25,17. 6. 2000,,,,,man,right
Francois Celine,Luxembourg,,,43,12. 8. 1982,-,797,-,767,woman,right
Lazaro Leander,Philippines,,,33,11. 3. 1993,,,,,man,right
Francati Emilie,Denmark,,,28,24. 6. 1997,-,574,-,420,woman,right
Gorska Daria,Poland,,,,,1262,1151,721,705,woman,right
Aleksjuks Levs,Latvia,,,41,23. 2. 1985,,,,,man,right
Bennani Reda,Morocco,,,19,16. 2. 2007,562,555,-,1664,man,right
Blanco-Puentes Yanet,Cuba,,,37,7. 2. 1989,,,,,woman,right
Laskevich Evialina,Belarus,,,21,10. 11. 2004,721,319,1178,317,woman,right
Babaryko Palina,Belarus,,,24,5. 2. 2002,,,,,woman,right
Baghirova Narmina,Azerbaijan,,,38,24. 6. 1987,,,,,woman,
Safari Jean-Bosco,Rwanda,,,46,17. 1. 1980,,,,,man,right
Yang Yidi,China,,,26,21. 12. 1999,335,334,613,499,woman,right
Ellis Blake,Australia,,,27,6. 1. 1999,469,270,2221,138,man,right
Phonephathep Philavong,Laos,,,29,1. 1. 1997,,,,,woman,right
Saidi Adel,Iraq,,,33,1. 1. 1993,,,,,man,right
Mackey Elana,Bahamas,175,70,,,,,,,woman,right
Cybina Irina,Lithuania,,,38,7. 4. 1987,-,1018,,,woman,right
Andrade Silva Isabella,Bolivia,,,24,31. 3. 2001,,,,,woman,right
Kajin Karlo,Croatia,,,26,28. 10. 1999,2105,2044,1121,968,man,right
Scotty Mikio,Nauru,,,,,,,,,man,
